Model,Success,CV R²,Test R²,Test RMSE,Test MAE,Test MAPE,Normalized RMSE,Best Hyperparameters,
Ridge,True,0.3451298644749701,0.48224847750159605,59.44556927976902,49.37166614018655,0.24946481630663248,0.15317075310427472,{'alpha': 10.0},
BayesianRidge,True,0.3311101530724282,0.47974710048186653,59.58899388703074,49.55835130897095,0.24854559680924135,0.15354030890757725,"{'alpha_1': 1e-06, 'lambda_1': 0.0001}",
Lasso,True,0.3261179697720612,0.4716058363243014,60.05342814427468,50.014574331523534,0.249881376831961,0.15473699599143179,{'alpha': 1.0},
GradientBoosting,True,0.49574056840873276,0.4290896500132034,62.42272972307297,54.00627738116038,0.2931475310081432,0.1608418699383483,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",
ExtraTrees,True,0.5234581346587943,0.4036383388757353,63.798968333798385,52.03784165400666,0.2866638172311413,0.164387962725582,"{'max_depth': 10, 'n_estimators': 100}",
RandomForest,True,0.5153507162286258,0.4016026884123789,63.907762852660056,51.935164064625845,0.28234986873272705,0.16466828872110295,"{'max_depth': 10, 'n_estimators': 100}",
MLP,True,0.3695967035553571,0.38505541020456147,64.78534720006967,50.60526063162666,0.25723759643086785,0.16692952125758737,"{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}",
AdaBoost,True,0.4438838175929101,0.31744003917053654,68.25417199669138,55.84224338861277,0.31748727024642703,0.1758674877523612,"{'learning_rate': 0.1, 'n_estimators': 200}",
XGBoost,True,0.4876243162536875,0.29682765711038295,69.27709825200284,59.54177507672991,0.3007055360188445,0.17850321631538996,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 40}",
HistGradientBoosting,True,0.41319352324216324,0.28691190337711214,69.76384227969194,55.82810737501823,0.3013324465590976,0.1797573879919916,"{'learning_rate': 0.05, 'max_depth': 3, 'max_iter': 100}",
DecisionTree,True,0.18057876805439804,0.25188055518140606,71.45691615427437,61.47738383838385,0.31863141662777633,0.18411985610480383,"{'max_depth': 3, 'min_samples_split': 5}",
SVR,True,0.5721836319423208,0.2411845581431854,71.96591941635499,58.36561324878799,0.30742330076074914,0.18543138216015198,"{'C': 100, 'kernel': 'rbf'}",
KNN,True,0.4878954774420586,0.07889835192084271,79.28893377418831,64.32904761904761,0.35845545239876486,0.20430026739033316,{'n_neighbors': 3},
