Model,Success,CV R²,Test R²,Test RMSE,Test MAE,Test MAPE,Normalized RMSE,Best Hyperparameters,
Ridge,True,0.4787283380074975,0.5333520804661881,56.43564137887588,48.25269353305,0.24704704542394706,0.14541520582034495,{'alpha': 10.0},
BayesianRidge,True,0.47243410426012405,0.5277592404516575,56.77282857248057,48.611211130518356,0.2486413500319417,0.14628402105766702,"{'alpha_1': 1e-06, 'lambda_1': 0.0001}",
Lasso,True,0.4697043705939626,0.5249056857105683,56.94409754514691,48.40562147469844,0.24652623201189217,0.14672532219826567,{'alpha': 1.0},
MLP,True,0.43739964092849154,0.5009091188716968,58.36447933634338,46.87203528285092,0.22553146333087265,0.15038515675429884,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}",
XGBoost,True,0.5524456506873432,0.47539882591111726,59.83749817105551,47.60875489371164,0.2576495860476496,0.15418061883807138,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 40}",
ExtraTrees,True,0.5716776779854742,0.450069343939801,61.26504589963421,49.21747857142857,0.2722559685873498,0.15785891754608145,"{'max_depth': None, 'n_estimators': 50}",
GradientBoosting,True,0.47767167427272617,0.43034738000864037,62.353932382417476,51.63799194745369,0.28720893407700876,0.16066460289208315,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",
RandomForest,True,0.5697576540602319,0.42440495910224263,62.678316039069124,51.24719976190476,0.28426081785040563,0.16150042782548085,"{'max_depth': None, 'n_estimators': 50}",
SVR,True,0.6149663679241493,0.41390372833126754,63.24748743745839,51.661924590952445,0.26070619433418646,0.1629669864402432,"{'C': 100, 'kernel': 'rbf'}",
AdaBoost,True,0.49163322211257016,0.3972186732988917,64.14143812957612,53.236386978855066,0.2983532671382157,0.1652703894088537,"{'learning_rate': 0.1, 'n_estimators': 50}",
HistGradientBoosting,True,0.4766086592698534,0.2537498288822042,71.3675881221526,57.34715819339322,0.30110036588866285,0.1838896885394295,"{'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 200}",
KNN,True,0.5826538644565483,0.19501084089688903,74.12314091461329,60.81000000000001,0.3406900849879217,0.19098979880085876,{'n_neighbors': 3},
DecisionTree,True,0.2941051644092968,0.13585161377144916,76.79853927337297,61.37892857142857,0.33389073456474166,0.19788337869974998,"{'max_depth': None, 'min_samples_split': 5}",
