Feature,Mean Importance,Model
Scaled_Voltage window (V),7.746347272221686,Stacking_RidgeMeta
Scaled_Specific surface area (m2/g),41.60593747518376,Stacking_RidgeMeta
Scaled_Pore size (nm),10.81841476636526,Stacking_RidgeMeta
Scaled_Id/Ig,19.76818888365278,Stacking_RidgeMeta
Scaled_N (at. %),15.314168715092327,Stacking_RidgeMeta
Scaled_O (at. %),9.26941770383903,Stacking_RidgeMeta
Scaled_Voltage window (V),5.7811970431919,Stacking_LassoMeta
Scaled_Specific surface area (m2/g),41.34558649601647,Stacking_LassoMeta
Scaled_Pore size (nm),14.522626866267053,Stacking_LassoMeta
Scaled_Id/Ig,16.206509957782423,Stacking_LassoMeta
Scaled_N (at. %),16.558994474708932,Stacking_LassoMeta
Scaled_O (at. %),8.27777267507196,Stacking_LassoMeta
Scaled_Voltage window (V),6.151513099650943,Stacking_BayesianRidgeMeta
Scaled_Specific surface area (m2/g),41.628082789825676,Stacking_BayesianRidgeMeta
Scaled_Pore size (nm),14.101176535425871,Stacking_BayesianRidgeMeta
Scaled_Id/Ig,15.313922944715646,Stacking_BayesianRidgeMeta
Scaled_N (at. %),16.585925057446325,Stacking_BayesianRidgeMeta
Scaled_O (at. %),8.716819295660057,Stacking_BayesianRidgeMeta
Scaled_Voltage window (V),5.473433216759611,Stacking_MLPMeta
Scaled_Specific surface area (m2/g),38.307926878625935,Stacking_MLPMeta
Scaled_Pore size (nm),12.353415934267032,Stacking_MLPMeta
Scaled_Id/Ig,16.642204676847836,Stacking_MLPMeta
Scaled_N (at. %),19.345862389676196,Stacking_MLPMeta
Scaled_O (at. %),5.882689112212501,Stacking_MLPMeta
